Respondent_Serial,comp,treatment,treatment_kantar,treatmentgroup,y,workp,org_strictp,org_weakp,cr1,cr2,cr3,crt,understanding1,understanding2,age,gender,education,indincome,occupation,stortingsvalg,leftp
4711,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,5,NA,1,Vet ikke,1 Ingen kontroll,26,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,working fulltime,H,FALSE
1146,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,1,47,2,NA,1 Ingen kontroll,75,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,retired,MDG,TRUE
5126,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,5,47,2,Ja,1 Ingen kontroll,64,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,retired,SV,TRUE
2579,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,20,5,47,2,NA,7 Full kontroll,71,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,retired,Ap,TRUE
4458,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,1e4,47,1,NA,1 Ingen kontroll,67,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,retired,Ap,TRUE
6170,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,75,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,retired,Frp,FALSE
1674,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,26,Mann,Universitet/hoyskole I,Under 200.000 kroner,student,H,FALSE
2923,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,3,TRUE,FALSE,FALSE,5,5,47,3,NA,3,27,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,H,FALSE
2277,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,29,Kvinne,Fagutdanning,300.000-399.000 kroner,working fulltime,H,FALSE
2262,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,5,5,47,3,NA,1 Ingen kontroll,25,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,student,KrF,TRUE
3269,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,72,Mann,Videregaaende,200.000 - 299.999 kroner,retired,H,FALSE
3286,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,2,FALSE,FALSE,TRUE,10,5,24,1,Nei,1 Ingen kontroll,56,Mann,Universitet/hoyskole I,800.000 - 999.999 kroner,working fulltime,H,FALSE
366,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,NA,1,NA,1 Ingen kontroll,22,Kvinne,Grunnskole,Under 200.000 kroner,student,Sp,TRUE
4921,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,0,FALSE,FALSE,TRUE,5,100,47,2,Ja,7 Full kontroll,52,Mann,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,Ap,TRUE
467,1,Base (nw),T2 NO CHOICE – NO WORK,Base,0,FALSE,FALSE,TRUE,10,5,24,1,NA,1 Ingen kontroll,58,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,H,FALSE
316,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,3,FALSE,FALSE,TRUE,10,100,24,0,Vet ikke,1 Ingen kontroll,41,Mann,Fagutdanning,300.000-399.000 kroner,working parttime,R,TRUE
982,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,1 Ingen kontroll,37,Mann,Universitet/hoyskole I,Onsker ikke aa svare,working parttime,SV,TRUE
3213,2,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,NA,NA,1,NA,2,35,Kvinne,Universitet/hoyskole II,300.000-399.000 kroner,working fulltime,Ap,TRUE
2941,2,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,65,Kvinne,Videregaaende,300.000-399.000 kroner,retired,H,FALSE
5664,2,Base (w),T1 NO CHOICE,Base,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,27,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,working fulltime,Sp,TRUE
4275,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,52,Mann,Fagutdanning,500.000 - 599.999 kroner,working fulltime,H,FALSE
5361,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,105,5,47,2,Ja,1 Ingen kontroll,40,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,R,TRUE
5957,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,5,5,47,3,NA,4,43,Mann,Universitet/hoyskole I,700-000 - 799.999 kroner,working fulltime,Frp,FALSE
5225,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,5,5,4,2,NA,1 Ingen kontroll,56,Mann,Universitet/hoyskole I,700-000 - 799.999 kroner,working fulltime,Ap,TRUE
2385,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,48,Mann,Fagutdanning,500.000 - 599.999 kroner,working fulltime,H,FALSE
3636,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,5,5,47,3,NA,1 Ingen kontroll,61,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,working parttime,KrF,TRUE
5317,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,3,FALSE,FALSE,TRUE,10,100,24,0,NA,5,47,Mann,Grunnskole,500.000 - 599.999 kroner,self-employed,Stemte ikke,TRUE
4882,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,100,24,1,NA,4,43,Kvinne,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
1420,2,Base (w),T1 NO CHOICE,Base,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,53,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,national insurance,Ap,TRUE
1131,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,NA,NA,0,NA,5,26,Kvinne,Fagutdanning,700-000 - 799.999 kroner,working fulltime,Frp,FALSE
6269,1,Base (w),T1 NO CHOICE,Base,0,TRUE,TRUE,TRUE,5,5,47,3,NA,2,41,Mann,Universitet/hoyskole I,1.000.000 kroner eller mer,working fulltime,H,FALSE
2181,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,90,5,24,1,NA,4,43,Mann,Universitet/hoyskole I,Under 200.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
1887,2,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,NA,NA,0,NA,1 Ingen kontroll,70,Kvinne,Universitet/hoyskole II,Onsker ikke aa svare,retired,MDG,TRUE
1401,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,100,47,1,NA,1 Ingen kontroll,20,Mann,Grunnskole,1.000.000 kroner eller mer,self-employed,Ap,TRUE
3124,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,27,Kvinne,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,H,FALSE
207,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,10,100,24,0,NA,3,58,Kvinne,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,H,FALSE
3153,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,105,1,24,0,Ja,1 Ingen kontroll,56,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,Ap,TRUE
3025,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,5,100,47,2,NA,1 Ingen kontroll,55,Kvinne,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,Vil ikke oppgi parti,TRUE
17,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,100,24,0,NA,Vet ikke,73,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,retired,Ap,TRUE
4249,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,5,5,47,3,Vet ikke,Vet ikke,38,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,working fulltime,H,FALSE
1927,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,NA,NA,0,Ja,4,41,Mann,Fagutdanning,700-000 - 799.999 kroner,working fulltime,V,TRUE
3773,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,2,FALSE,FALSE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,27,Kvinne,Videregaaende,Under 200.000 kroner,student,KrF,TRUE
959,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,NA,24,0,NA,3,24,Mann,Universitet/hoyskole I,Under 200.000 kroner,student,Ap,TRUE
3275,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,54,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,SV,TRUE
3142,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,34,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,Vil ikke oppgi parti,TRUE
1237,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,2,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,44,Mann,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,H,FALSE
4734,1,Base (nw),T2 NO CHOICE – NO WORK,Base,2,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,24,Mann,Videregaaende,Under 200.000 kroner,student,H,FALSE
1875,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,100,47,1,NA,3,30,Kvinne,Universitet/hoyskole I,200.000 - 299.999 kroner,student,R,TRUE
1696,1,Base (nw),T2 NO CHOICE – NO WORK,Base,0,FALSE,FALSE,TRUE,5,5,47,3,NA,2,35,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,H,FALSE
2343,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,100,NA,0,NA,1 Ingen kontroll,80,Mann,Grunnskole,400.000 - 499.000 kr,retired,Ap,TRUE
2250,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,10,100,24,0,NA,1 Ingen kontroll,28,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,Stemte ikke,TRUE
6797,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,4,FALSE,FALSE,TRUE,10,5,47,2,Ja,1 Ingen kontroll,35,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,Sp,TRUE
368,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,64,Kvinne,Grunnskole,Under 200.000 kroner,national insurance,Sp,TRUE
1849,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,0,FALSE,FALSE,TRUE,10,5,47,2,Ja,1 Ingen kontroll,45,Kvinne,Universitet/hoyskole II,700-000 - 799.999 kroner,working fulltime,Ap,TRUE
5086,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,NA,5,NA,1,NA,1 Ingen kontroll,46,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
6861,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,2,FALSE,FALSE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,20,Mann,Grunnskole,Under 200.000 kroner,student,Hadde ikke stemmerett,TRUE
4180,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,1,47,1,NA,1 Ingen kontroll,72,Kvinne,Videregaaende,200.000 - 299.999 kroner,retired,KrF,TRUE
7014,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,5,47,2,NA,7 Full kontroll,36,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,Frp,FALSE
220,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,58,Kvinne,Videregaaende,200.000 - 299.999 kroner,working parttime,MDG,TRUE
5469,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,1,TRUE,FALSE,FALSE,90,500,NA,0,NA,1 Ingen kontroll,74,Mann,Universitet/hoyskole II,400.000 - 499.000 kr,retired,KrF,TRUE
1161,1,Base (nw),T2 NO CHOICE – NO WORK,Base,2,FALSE,FALSE,TRUE,10,5,47,2,NA,1 Ingen kontroll,58,Mann,Universitet/hoyskole II,700-000 - 799.999 kroner,working parttime,Sp,TRUE
325,1,Base (w),T1 NO CHOICE,Base,2,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,30,Mann,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,MDG,TRUE
3536,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,0,TRUE,FALSE,FALSE,10,5,47,2,NA,4,46,Kvinne,Universitet/hoyskole II,600.000 - 699.999 kroner,working fulltime,V,TRUE
5123,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,62,Kvinne,Fagutdanning,300.000-399.000 kroner,national insurance,Ap,TRUE
627,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,66,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,national insurance,Ap,TRUE
4309,1,Base (nw),T2 NO CHOICE – NO WORK,Base,4,FALSE,FALSE,TRUE,10,5,24,1,NA,1 Ingen kontroll,58,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,R,TRUE
7059,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,52,Mann,Universitet/hoyskole II,800.000 - 999.999 kroner,working fulltime,R,TRUE
2627,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,100,24,0,NA,4,73,Mann,Universitet/hoyskole I,300.000-399.000 kroner,retired,H,FALSE
6906,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,0,FALSE,FALSE,TRUE,5,5,12,2,Ja,1 Ingen kontroll,73,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,retired,Sp,TRUE
4535,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,47,Mann,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,Frp,FALSE
1639,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,3,TRUE,FALSE,FALSE,10,5,47,2,NA,1 Ingen kontroll,51,Kvinne,Universitet/hoyskole I,Onsker ikke aa svare,working fulltime,H,FALSE
2071,1,Base (w),T1 NO CHOICE,Base,4,TRUE,TRUE,TRUE,10,100,24,0,NA,1 Ingen kontroll,65,Mann,Universitet/hoyskole II,500.000 - 599.999 kroner,retired,SV,TRUE
503,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,5,1,47,2,NA,1 Ingen kontroll,59,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,Frp,FALSE
4307,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,100,24,0,Vet ikke,Vet ikke,35,Mann,Fagutdanning,400.000 - 499.000 kr,working fulltime,Husker ikke/vet ikke,TRUE
6235,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,NA,NA,0,NA,1 Ingen kontroll,59,Kvinne,Universitet/hoyskole II,1.000.000 kroner eller mer,working parttime,Ap,TRUE
6804,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,10,500,24,0,NA,5,34,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,H,FALSE
6,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,2,FALSE,FALSE,TRUE,5,100,47,2,Ja,1 Ingen kontroll,50,Mann,Fagutdanning,500.000 - 599.999 kroner,working fulltime,KrF,TRUE
5776,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,5,24,1,NA,1 Ingen kontroll,32,Kvinne,Videregaaende,300.000-399.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
5489,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,5,5,47,3,NA,1 Ingen kontroll,37,Mann,Fagutdanning,Under 200.000 kroner,national insurance,Andre partier og lister,TRUE
1091,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,10,NA,NA,0,NA,1 Ingen kontroll,42,Kvinne,Universitet/hoyskole II,Onsker ikke aa svare,working fulltime,Vil ikke oppgi parti,TRUE
3893,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,55,Kvinne,Universitet/hoyskole I,1.000.000 kroner eller mer,working fulltime,NA,TRUE
1604,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,23,Kvinne,Universitet/hoyskole II,Under 200.000 kroner,student,Sp,TRUE
5236,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,5,100,47,2,NA,1 Ingen kontroll,57,Kvinne,Universitet/hoyskole II,Under 200.000 kroner,working fulltime,Ap,TRUE
230,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,4,50,Mann,Videregaaende,400.000 - 499.000 kr,working fulltime,H,FALSE
2725,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,75,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,retired,Frp,FALSE
5235,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,5,FALSE,FALSE,TRUE,10,100,24,0,NA,2,20,Kvinne,Grunnskole,Under 200.000 kroner,student,Hadde ikke stemmerett,TRUE
285,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,59,Kvinne,Videregaaende,Under 200.000 kroner,national insurance,H,FALSE
4526,1,Base (w),T1 NO CHOICE,Base,8,TRUE,TRUE,TRUE,10,5,47,2,NA,1 Ingen kontroll,49,Mann,Universitet/hoyskole I,700-000 - 799.999 kroner,working fulltime,NA,TRUE
6577,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,0,TRUE,FALSE,FALSE,10,100,NA,0,NA,1 Ingen kontroll,63,Mann,Fagutdanning,600.000 - 699.999 kroner,working fulltime,KrF,TRUE
7114,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,4,TRUE,TRUE,TRUE,5,5,47,3,NA,4,65,Mann,Universitet/hoyskole I,300.000-399.000 kroner,retired,R,TRUE
726,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,10,5,47,2,NA,2,52,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,national insurance,MDG,TRUE
172,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,1,TRUE,FALSE,FALSE,10,100,24,0,NA,1 Ingen kontroll,32,Mann,Videregaaende,300.000-399.000 kroner,working fulltime,Frp,FALSE
